unit_id,area_m2,P_walk_total,P_walk_life_service,P_walk_public_activity,P_walk_community_living,P_walk_productive_mix,P_slow_total,P_slow_life_service,P_slow_public_activity,P_slow_community_living,P_slow_productive_mix,P_fast_total,P_fast_life_service,P_fast_public_activity,P_fast_community_living,P_fast_productive_mix,gap_life_service,gap_public_activity,gap_community_living,gap_productive_mix,site_block_id,block_code
plot_11995,6592.83,0.7104893069067316,0.3966410885607931,0.21055139942980258,0.06606589676242998,0.037230922153706034,0.16533249936775465,0.07511051408570651,0.04627446524896459,0.025869859814276044,0.018077660218807492,0.12417819372551382,0.03904958807938292,0.040522720583510516,0.008242691581218852,0.036363193481401546,0.1092360462928538,0.11367455549728643,0.08172169216495663,0.08087471884506443,block_nw,NW
plot_12068,112085.04,0.7688193768864093,0.40862524404078165,0.23321424896018592,0.08988291680209991,0.03709696708334182,0.11176939240292388,0.04756117268218754,0.03150378144814009,0.02163307352553746,0.011071364747058788,0.11941123071066694,0.03623891930940421,0.0404321497897664,0.010101832481272378,0.03263832913022395,0.11770431679706284,0.12208410117692906,0.08856314513123416,0.08326003274694081,block_nw,NW
plot_8231,13952.32,0.7276744113384394,0.35902091449221063,0.24085660360937716,0.10847213061743954,0.01932476261941212,0.18874560278895997,0.07426885689745923,0.05782635152635627,0.04640009494771977,0.010250299417424702,0.08357998587260061,0.02588934079903506,0.03395326230451775,0.009912709392737109,0.013824673376310699,0.11271169467719892,0.11640722592821592,0.08381831777632416,0.07919987511660964,block_nw,NW
plot_11994,2979.38,0.3590666931370286,0.16610015034470996,0.09797954658193365,0.04349398747280654,0.05149300873757842,0.4924762725448165,0.16301849669389454,0.11160471093613299,0.08826932208801151,0.12958374282677748,0.14845703431815477,0.02669845603722875,0.030787416982727696,0.008859685517075163,0.08211147578112314,0.11968294916049123,0.1262467432084147,0.09163861392864293,0.08671349397165341,block_nw,NW
plot_17062,1539.3,0.5022300259578872,0.2259119858005172,0.1642324193922201,0.07016542892393338,0.04192019184121643,0.4291596495464804,0.1449003186342335,0.12225572385795859,0.09306083813415045,0.06894276892013779,0.06861032449563265,0.014737073030949142,0.0209436591051767,0.005800535739489978,0.027129056620016825,0.1248895860220387,0.13359658807090244,0.0954729646968009,0.09004903883920579,block_ne,NE
plot_16703,775.92,0.5038535561388523,0.22694388905140675,0.18338874230435986,0.06316534648189678,0.030355578301188887,0.42923403048548797,0.15027309603510103,0.1409339605040628,0.08648789592968723,0.051539078016636944,0.06691241337565954,0.015709380208086834,0.024816180370836823,0.005541054230860966,0.020845798565874925,0.12483855197111848,0.13417347239682284,0.09560827551540048,0.09065595865403027,block_ne,NE
plot_19199,20896.91,0.40157371942063885,0.139253062871163,0.14205186900405745,0.0909001032151811,0.02936868433023727,0.4787069877826124,0.11748836410810731,0.1390968503063081,0.158587219490973,0.06353455387722395,0.11971929279674874,0.020244407543024544,0.040370950488768424,0.016747024344847636,0.04235691042010817,0.12200223772517682,0.12723617122891384,0.09139104279371404,0.08372273932630078,block_nw,NW
plot_7640,29022.18,0.4531728934264482,0.1916161141689346,0.132448228619165,0.09899331862376393,0.030115232014584666,0.45631734783179523,0.13939767096583397,0.1118278271672866,0.1489165891592242,0.05617526053945042,0.0905097587417566,0.01982633627846061,0.02679034464708944,0.012980436081261471,0.03091264173494508,0.12007204162818409,0.12496034158513208,0.08939545727657827,0.08007312131830663,block_sw,SW
plot_12021,1091.99,0.7050674152212086,0.3899124551052591,0.1792411995863829,0.060762520404484946,0.07515124012508173,0.10168283930273807,0.04326994810902602,0.023085397196479934,0.013943402168909609,0.02138409182832251,0.1932497454760532,0.04821320072526566,0.04332697858553265,0.009521548755723997,0.09218801740953086,0.0998930850566561,0.1060186815741514,0.0739272627585333,0.07591890671631515,block_nw,NW
plot_19184,1415.16,0.5715418708577338,0.2662078395247077,0.20592919019113234,0.07203902853953738,0.02736581260235633,0.3724660269975742,0.13688774012360663,0.12289716591289566,0.07659938246729132,0.036081738493780546,0.055992102144691795,0.014449564395576342,0.021851111476621807,0.004955354417728356,0.014736071854765288,0.12147305028650773,0.1328996848283693,0.09470547266657524,0.09271398689098298,block_ne,NE
plot_17084,31346.76,0.4513171563181448,0.17967872046413558,0.1744603675901583,0.07110424876862391,0.02607381949522704,0.4829382409987499,0.1455828961026969,0.16405547736525247,0.11913050110563903,0.05416936642516151,0.06574460268310527,0.013585751905142896,0.025787279264563593,0.006813269151295811,0.019558302362102965,0.12331447334181186,0.13375214557592474,0.09539163299221932,0.091993885523413,block_ne,NE
plot_16705,725.78,0.46808468826873384,0.1817399638523374,0.19855548473210496,0.05860706131373545,0.02918217837055597,0.4518503307884767,0.13502072826011302,0.1712033033912619,0.09003547539755923,0.0555908237395425,0.08006498094278955,0.015584727666199822,0.033285292325834125,0.006369006406547773,0.024825954544207836,0.12469618229391496,0.13447329935352909,0.09561489519443374,0.09101779968295826,block_ne,NE
plot_16706,692.29,0.45388071105305045,0.20067046533949143,0.15252490854811643,0.06786978242696225,0.03281555473848038,0.4693348298946181,0.1564023911258594,0.13796881911722206,0.1093830667409204,0.06558055291061626,0.07678445905233132,0.016924825833404572,0.025147987206009356,0.007254210730102214,0.027457435282815176,0.12449818619961767,0.13472506946035348,0.09558199313142093,0.09134946856013312,block_ne,NE
plot_16702,940.83,0.4569123225650696,0.20770133173690505,0.14508883924087376,0.06963805686634168,0.034484094720949064,0.49797098385563393,0.16997113810005152,0.1378002960859239,0.11784095499228321,0.07235859467737528,0.04511669357929656,0.010166986705771073,0.013883810832281684,0.004319888911958953,0.016746007129284854,0.12411605171031638,0.13495717727044873,0.09545263318567425,0.09171718939770794,block_ne,NE
plot_16894,115273.3,0.5101930286012222,0.19143078520675463,0.2009306083277637,0.0811190122602058,0.03671262280649808,0.4194129624526963,0.11695270967539083,0.14247046771855137,0.10247899775957897,0.057510787299175144,0.07039400894608136,0.012818740666977099,0.02630276391463119,0.006883815068593035,0.024388689295880037,0.10639848443419113,0.12430805048749183,0.0826203172987428,0.09102838000466953,block_se,SE
plot_11996,1587.55,0.8391622073742022,0.5305430931425533,0.16682291401537497,0.05917099342989582,0.08262520678637804,0.0007378793665391042,0.00036988600959783705,0.00013498427750083684,8.530408100105963e-05,0.00014770499843937067,0.16009991325925868,0.048499843284059756,0.029812409655489962,0.006854905798016091,0.0749327545216929,0.1013602666757745,0.10720571970104006,0.07513272077816066,0.07681546011393735,block_nw,NW
plot_7453,21523.43,0.6086222056671031,0.2667927711581766,0.2286975215502782,0.08943703783747267,0.023694875121175706,0.30486078662586186,0.10455482858002604,0.10401877565101199,0.07247715728341096,0.02381002511141288,0.08651700770703503,0.021728825624351914,0.03641206939273942,0.009231081037001635,0.019145031652942058,0.10553981748097767,0.10980328750301614,0.07787713263425956,0.07528537286478651,block_sw,SW
plot_7558,2315.0,0.7622411697800555,0.33459539907493907,0.28695459140225105,0.12690294297922022,0.013788236323645222,0.17832203571689853,0.06180411797678813,0.061516393933873,0.04847109710171522,0.0065304267045221956,0.05943679450304595,0.01666761171192782,0.027943982125727074,0.0080112090305725,0.006813991634818564,0.10899640830787787,0.11277627952928995,0.08044167720946598,0.07594079744789439,block_sw,SW
plot_7451,6806.86,0.4848635772382909,0.22284907074176238,0.16066749304921313,0.0698001780256289,0.03154683542168646,0.42467569825773893,0.14914456861170286,0.12479720975663224,0.09659771490418965,0.054136204985214195,0.09046072450397012,0.021483389323644027,0.03027901169165775,0.008527494768582972,0.030170828720085374,0.10654652521767502,0.11051824941103612,0.07816908324420253,0.07334356090925508,block_sw,SW
plot_7452,7330.64,0.606245552995306,0.2910867272900334,0.20973283015880012,0.07971575559146524,0.025710239955007343,0.30921983751558757,0.11761938282916032,0.098356519806082,0.06660615561205478,0.026637779268290498,0.08453460948910635,0.023276093755248466,0.03278504762182142,0.008078018090965713,0.020395450021070773,0.10359530992529348,0.10792310826145121,0.07591173064720606,0.07235115473805061,block_sw,SW
plot_16978,844.57,0.6576925950336948,0.32622265434340364,0.21727790848476455,0.07685313327660241,0.03733889892892433,0.18314721418488517,0.0717201980846647,0.055439994518404756,0.03493837077348725,0.021048650808328438,0.15916019078142002,0.042600759826232175,0.055467744610437346,0.012718554824121556,0.04837313152062894,0.10167199554796408,0.10624744935736027,0.07440929811945271,0.07157298044109693,block_sw,SW
plot_7599,1634.64,0.4837656666976971,0.21000855449234057,0.19177428086665793,0.05699233594491257,0.024990495393786036,0.36509210401536896,0.12477029940618525,0.1322345183577603,0.07001714484720258,0.03807014140422087,0.15114222928693377,0.03507107024985526,0.06260717438977571,0.012061503615948753,0.041402481031354056,0.10380802576726099,0.10809222419219576,0.07598305184973315,0.07182727882639457,block_sw,SW
plot_7635,1032.37,0.4013434924505332,0.17952783993825433,0.1299799233972781,0.040986913668055146,0.05084881544694564,0.3235414326983818,0.10647640329264867,0.08947013382374017,0.050266713539635625,0.0773281820423574,0.2751150748510849,0.04988878470303727,0.07061047007945857,0.014434086249166487,0.14018173381942256,0.10206991801376279,0.106592918806072,0.0746587026206499,0.07116198992912942,block_sw,SW
plot_7557,1382.97,0.638343252676896,0.28481523485153337,0.23116785179184712,0.09079850905379179,0.03156165697972359,0.20803116800507332,0.07209926024060503,0.06791649626887046,0.04752914673781014,0.02048626475778771,0.1536255793180308,0.037561043389111745,0.05959688708155344,0.015174909473686505,0.0412927393736791,0.1159081771213985,0.11965995276170664,0.08620280126387087,0.07998459233003578,block_nw,NW
plot_17759,4472.74,0.4592077181885952,0.18595614989941678,0.1635510440590111,0.07549091146314191,0.034209612767025326,0.4291618075706576,0.1288030748490243,0.13147683749646466,0.10812448746421628,0.06075740776095233,0.11163047424074685,0.022066256081679586,0.03793963391195199,0.011352349081035273,0.04027223516607999,0.11890306276664572,0.12306878119429443,0.08871784634285913,0.08184435067861336,block_nw,NW
plot_19335,13142.92,0.73085913791106,0.3195893815259019,0.2863007128786819,0.11377450270723274,0.011194540799243546,0.2173425482569203,0.0758435219094565,0.07885492505258712,0.05583220814463266,0.006811893150243997,0.05179831383201951,0.014591409847952064,0.025553421070425155,0.006582984323206064,0.005070498590436225,0.11201447063354561,0.11561123969129111,0.08303358666238056,0.07787660267194495,block_nw,NW
plot_7641,23085.16,0.4362546737051427,0.1774812365535972,0.16494044166621066,0.06856644126129915,0.02526655422403569,0.4889109692381311,0.15078299562839206,0.16263249240706013,0.12045511274563764,0.055040368457041265,0.07483435705672632,0.01585922389379605,0.028812327632572375,0.007764510001581845,0.022398295528776056,0.11349883562219018,0.11712204163316274,0.08376699546450304,0.07675773885592856,block_sw,SW
plot_7598,3195.29,0.3945109233448377,0.14592302196721876,0.14499362727533432,0.06688420110676004,0.03671007299552459,0.4359500213669438,0.11637592567424138,0.13420493663513786,0.11030027247597206,0.07506888658159246,0.16953905528821872,0.02816709279556533,0.0547127861722066,0.016361183425385888,0.0702979928950609,0.11460986085438517,0.11825199455689532,0.08460744830307075,0.07704863053484556,block_sw,SW
