unit_id,building_coverage,avg_height,road_density,green_blue_ratio,heritage_ratio,barrier_index,permeability_index,edge_conductance_mean,poi_food_density,poi_retail_density,poi_office_density,poi_public_service_density,poi_leisure_density,poi_transport_density,poi_life_service_density,landuse_residential_ratio,landuse_commercial_ratio,landuse_public_ratio,landuse_green_ratio,vitality_food_weighted_density,vitality_retail_weighted_density,vitality_leisure_weighted_density,vitality_life_service_weighted_density,meituan_vitality_proxy,meituan_rating_mean,walk_length_km_per_km2,slow_road_length_km_per_km2,fast_road_length_km_per_km2,all_road_length_km_per_km2,walk_length_share,slow_road_length_share,fast_road_length_share
plot_100,0.2382053584482947,21.1457031698813,0.0,0.0,0.0,0.0,0.2580966293375081,0.5498658096389069,0.0,0.0,0.0,0.0,0.0,6.5774544593496875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.73183499254048,14.73183499254048,0.0,29.46366998508096,0.5,0.5,0.0
plot_10006,0.5920194650524992,16.75932740381282,0.0090041466493077,0.0,0.0,0.0,0.2387100468651168,0.4899818948460362,21.19809888383177,4.416270600798285,0.0,8.83254120159657,0.883254120159657,0.0,1.766508240319314,0.0,0.0,0.0,0.0,6.30064410954951,2.722391393464511,0.0,0.0,9.906289623173677,1.9666666666666666,19.199803217141973,19.199803217141973,0.0,38.399606434283946,0.5,0.5,0.0
plot_10007,0.6600795613924413,28.41658959786084,0.0,0.0,0.0,1.6666666666666667,0.2851397962006894,0.5911066952607914,4.985492217646649,0.0,0.0,0.0,4.985492217646649,0.0,0.0,0.0,0.0,0.0,0.0,7.113511764947886,0.0,0.0,9.970984435293298,17.084496200241183,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10008,0.0318667631459202,10.180447085781928,0.0,0.0,0.0,10.0,0.1101123271514672,0.2193253143048479,34.47279363118805,5.134245859964178,11.001955414208952,10.268491719928356,2.2003910828417905,6.601173248525371,18.33659235701492,0.0,0.0,0.0,0.0,1.0944576373796047,2.1229565180795493,0.0,5.800949754075061,9.018363909534214,3.8,10.010186218320774,10.010186218320774,0.0,20.020372436641548,0.5,0.5,0.0
plot_10009,0.6645392435234732,11.49561173875028,0.0,0.0,0.0,2.857142857142857,0.1642200546371724,0.3353217087175261,16.8600893584736,44.96023828926294,0.0,0.0,0.0,0.0,16.8600893584736,0.0,0.0,0.0,0.0,24.18290962283314,15.567482507657292,0.0,23.701395026223242,63.451787156713685,3.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10010,0.4364804241740334,25.80716047787308,0.0,0.0,0.0,8.0,0.1265837553055476,0.2519200752821694,0.7357512572149608,0.0,0.7357512572149608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.029096869599251,3.029096869599251,0.0,6.058193739198502,0.5,0.5,0.0
plot_10011,0.6702796106455599,24.708131366666056,0.0,0.0,0.0,1.7777777777777777,0.207214124907619,0.4358078331280423,0.0,0.0,12.720056985855297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.403914001552047,7.403914001552047,0.0,14.807828003104094,0.5,0.5,0.0
plot_10012,0.2334327919257656,21.17292862989849,0.0,0.0,0.0,3.692307692307693,0.2498492614483974,0.5298077946716524,0.0,0.968486420367657,0.0,0.0,0.0,2.905459261102971,0.968486420367657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10031,0.2104478648395119,23.418661234666448,0.0,0.0,0.0,1.1111111111111112,0.2473950441681687,0.5210554438304984,0.0,0.6793353654518566,0.0,2.0380060963555695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9408794811508213,0.9408794811508213,3.5,4.597930083840887,4.597930083840887,0.0,9.195860167681774,0.5,0.5,0.0
plot_10032,0.1704481217448642,22.263982605319057,0.000869517873503,0.0,0.0,0.0,0.2917463074692021,0.6102673471410579,0.0,0.0,0.0,2.7226541158362267,0.0,3.6302054877816357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.107948606234554,9.107948606234554,0.0,18.21589721246911,0.5,0.5,0.0
plot_10046,0.3803748493688729,17.77416845528789,0.0,0.3524406107757514,0.0,0.0,0.3047090860462891,0.6440598102615949,2.305672184140203,0.0,0.0,2.305672184140203,2.305672184140203,2.305672184140203,0.0,0.0,0.0,0.0,0.3963240489202193,0.0,0.0,3.8274158256727375,0.0,3.8274158256727375,34.0,17.107675960198414,17.107675960198414,0.0,34.21535192039683,0.5,0.5,0.0
plot_10047,0.0742958026708124,21.1835281159817,0.0,0.0056319876638957,0.0,0.0,0.2438889325611768,0.5163807637161955,3.0082154363566898,12.032861745426759,3.0082154363566898,6.0164308727133795,15.04107718178345,39.10680067263697,18.04929261814014,0.0,0.0,0.0,0.007017038734044153,0.0,0.0,4.993637624352106,15.70738430634601,30.21222608202687,11.214285714285714,14.311567529591454,14.311567529591454,0.0,28.623135059182907,0.5,0.5,0.0
plot_10048,0.4723891359927026,13.82151742973979,0.0222495244336126,0.0,0.0,1.6666666666666667,0.235176420311024,0.4686687909768043,1.1244571683020022,16.866857524530033,1.1244571683020022,0.0,1.1244571683020022,0.0,0.0,0.0,0.0,0.0,0.0,1.1244571683020022,0.0,0.0,0.0,2.2489143366040043,0.0,23.87047214034128,23.87047214034128,0.0,47.74094428068256,0.5,0.5,0.0
plot_10063,0.3285660873230902,15.058951196444497,0.0,0.0,0.0,0.0,0.2333657785572494,0.4865039523494432,0.0,10.729613733905579,0.0,0.0,10.729613733905579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.933872440795405,47.933872440795405,0.0,95.86774488159081,0.5,0.5,0.0
plot_10064,0.2898016496301746,36.41491624823252,0.0002042106510343,0.0,0.0,0.0,0.3144531661446836,0.6515965831484924,4.968958913666327,3.9751671309330616,0.0,1.9875835654665308,0.9937917827332654,4.968958913666327,11.925501392799184,0.0,0.0,0.0,0.0,0.0,1.3217430710352431,0.0,4.295071838406698,5.616814909441941,3.375,14.509318342156192,14.509318342156192,0.0,29.018636684312384,0.5,0.5,0.0
plot_10065,0.399604767461547,21.65852968798464,0.0,0.0,0.0,1.25,0.2168157118727551,0.4536396513839003,0.0,0.0,3.419727037387876,6.839454074775752,13.678908149551503,3.419727037387876,3.419727037387876,0.0,0.0,0.0,0.0,0.0,0.0,17.455864318989537,3.419727037387876,20.875591356377413,28.25,31.931634739129155,31.931634739129155,0.0,63.86326947825831,0.5,0.5,0.0
plot_10066,0.5306492942336685,63.158535317769626,0.0,0.0,0.0,1.25,0.3082218768217154,0.6518290734927008,39.57246660837579,20.728434890101607,28.266047577411282,24.497241233756444,9.422015859137094,16.95962854644677,48.99448246751289,0.0,0.0,0.0,0.0,0.0,4.494301564808393,0.0,28.8429360323147,33.33723759712309,5.366666666666667,35.24051344476602,35.24051344476602,0.0,70.48102688953205,0.5,0.5,0.0
plot_10067,0.4997244655886159,24.82568720542164,0.0197550197121261,0.0,0.0,0.0,0.366216610982011,0.743724897961704,0.0,0.0,0.0,4.458434019634944,0.0,4.458434019634944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.773135908354753,19.773135908354753,0.0,39.546271816709506,0.5,0.5,0.0
plot_10068,0.4391107022057013,38.62339629619642,0.0,0.0,0.0,0.0,0.3036286505704828,0.6248533901566286,0.0,0.0,6.129385192018314,12.258770384036628,0.0,3.064692596009157,9.194077788027473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
