unit_id,poi_food_density,poi_retail_density,poi_office_density,poi_public_service_density,poi_leisure_density,poi_transport_density,poi_life_service_density,landuse_residential_ratio,landuse_commercial_ratio,landuse_public_ratio,landuse_green_ratio,vitality_food_weighted_density,vitality_retail_weighted_density,vitality_leisure_weighted_density,vitality_life_service_weighted_density,meituan_vitality_proxy,meituan_rating_mean
plot_10648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10810,0.0,0.0,0.0,6.850300385671912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10650,0.0,0.0,7.849088197587713,10.465450930116951,2.616362732529238,2.616362732529238,2.616362732529238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10646,0.0,11.571261614653846,11.571261614653846,46.28504645861538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.026197336295578,0.0,0.0,17.619177029872045,33.64537436616762,3.75
plot_10604,0.0,6.689992440308542,0.0,0.0,6.689992440308542,0.0,6.689992440308542,0.0,0.0,0.0,0.0,0.0,6.585983033207552,3.701795816970727,0.0,10.28777885017828,14.166666666666666
plot_10552,1.9713872849462897,1.9713872849462897,0.0,0.0,1.9713872849462897,1.9713872849462897,0.0,0.0,0.0,0.0,0.0,2.8198544877000282,0.0,0.0,5.5691690799732685,8.389023567673297,3.6666666666666665
plot_10499,17.429700209156405,5.809900069718801,5.809900069718801,8.714850104578202,11.619800139437602,8.714850104578202,5.809900069718801,0.0,0.0,0.0,0.0,4.554721581923122,0.0,5.0398920584826294,4.49785382302023,14.09246746342598,19.333333333333332
plot_10500,41.344646016000375,20.672323008000188,1.476594500571442,2.953189001142884,17.719134006857306,7.382972502857211,25.102106509714517,0.0,0.0,0.0,0.0,2.3555915272890373,0.0,0.0,2.8634928803099036,5.219084407598941,4.5
plot_10549,0.0,6.359098279863915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_19877,0.0,0.0,0.0,0.0,4.5205708576879085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10346,0.0,1.2858494836028473,0.0,3.857548450808542,1.2858494836028473,2.5716989672056947,0.0,0.006063099879977879,0.0,0.0,0.0,0.0,0.0,0.0,5.257838538452043,5.257838538452043,3.3000000000000003
plot_10551,4.092842028576223,0.0,0.0,4.092842028576223,0.0,0.0,0.0,0.021570442096512408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11760,0.0,0.0,4.336005758215647,34.688046065725175,0.0,0.0,4.336005758215647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10938,0.0,1.3880310086127323,0.0,1.3880310086127323,0.0,2.7760620172254646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799804402431837,0.0,0.0,0.0,0.0,0.0,0.0,5.33069556917203,5.33069556917203,3.5
plot_10384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
