unit_id,t_id,mob_state,p_R1,p_R2,p_R3,p_R4,p_R5,p_R6,p_R7,road_centrality,accessibility_index,population_density,traffic_intensity,congestion_proxy,barrier_index,bottleneck_index,stay_proxy
plot_10648,WD_AM,站前离站廊道高压型,0.999999999981716,7.235469857449183e-196,1.828433267680163e-11,0.0,0.0,0.0,0.0,0.3145029569813036,0.3710073544022446,96.31821284860472,14177.935109497592,0.0,0.0,0.2020031819813036,8.839094812481526e-06
plot_10648,WD_PM,站前离站廊道高压型,0.999999999962772,3.92951414637053e-173,3.7227701423693246e-11,0.0,0.0,0.0,0.0,0.3145029569813036,0.3710073544022446,82.13463062416575,9117.01760832108,0.0,0.0,0.2020031819813036,6.584855606694645e-06
plot_10648,WD_EVE,站前离站廊道高压型,0.9999999999676384,1.0697433376384304e-176,3.2361317006333705e-11,0.0,0.0,0.0,0.0,0.3145029569813036,0.3710073544022446,85.91878755872506,9783.04240872406,0.0,0.0,0.2020031819813036,5.9123727238484905e-06
plot_10648,WE_PM,站前离站廊道高压型,0.9999999999844018,1.8665138573092125e-197,1.559816871179126e-11,0.0,0.0,0.0,0.0,0.3145029569813036,0.3710073544022446,105.8761131073634,14569.248401799132,0.0,0.0,0.2020031819813036,8.885936682102772e-06
plot_10810,WD_AM,站外区域路网拥堵活动型,1.3460624077863937e-12,5.7444397276514e-38,4.396931647275442e-12,0.0,0.0001340780955102,0.999865921898747,0.0,0.3145029569813036,0.4027490979555197,17.248575785954845,0.0,0.0,0.0,0.2020028444813036,8.843232906098208e-06
plot_10810,WD_PM,站外区域路网拥堵活动型,3.36707030665148e-12,1.6436788353197855e-37,6.935671459005463e-12,0.0,0.0001543297514551,0.9998456702382422,0.0,0.3145029569813036,0.4027490979555197,14.708593100654207,0.0,0.0,0.0,0.2020028444813036,6.5880122856649385e-06
plot_10810,WD_EVE,站外区域路网拥堵活动型,2.603376780321282e-12,1.2233334160761323e-37,6.094077972812983e-12,0.0,0.0001481879005484,0.9998518120907542,0.0,0.3145029569813036,0.4027490979555197,15.38498419883011,0.0,0.0,0.0,0.2020028444813036,5.915205520724546e-06
plot_10810,WE_PM,站外区域路网拥堵活动型,7.754243372388229e-13,3.058022924402197e-38,3.36617784100718e-12,0.0,0.0001238679321189,0.999876132063739,0.0,0.3145029569813036,0.4027490979555197,18.960147359278256,0.0,0.0,0.0,0.2020028444813036,8.889044134933034e-06
plot_10650,WD_AM,站前离站廊道高压型,0.9999999551970814,1.146635886829809e-68,4.480291852069052e-08,0.0,0.0,0.0,0.0,0.3145029569813036,0.4687936198880396,98.54795490818826,657.1234777030153,0.0,0.0,0.2145030569813036,8.869640969461566e-06
plot_10650,WD_PM,站前离站廊道高压型,0.9999998825559396,7.462997297203565e-56,1.1744406020167797e-07,0.0,6.02744647044646e-310,2.7105217871776994e-306,0.0,0.3145029569813036,0.4687936198880396,84.03602637305619,421.2187618309834,0.0,0.0,0.2145030569813036,6.608174840246547e-06
