origin_id,destination_id,flow,dist_m,day_type,t_id
plot_10088,plot_4823,7.549548081487609e-08,0.014899748331425535,weekday,WD_AM
plot_10088,plot_4626,7.460105762119045e-08,0.014314567960298934,weekday,WD_AM
plot_10088,plot_6857,7.334624998950496e-08,0.005872067122397498,weekday,WD_AM
plot_16826,plot_4823,7.261656213517945e-08,0.00894231056326808,weekday,WD_AM
plot_16826,plot_4626,7.175624656769954e-08,0.007676867961610556,weekday,WD_AM
plot_10088,plot_9470,7.160137553090079e-08,0.014628818484412375,weekday,WD_AM
plot_10088,plot_7597,7.137380357744736e-08,0.02766614594626207,weekday,WD_AM
plot_16826,plot_6857,7.054928933833342e-08,0.0070896323205128335,weekday,WD_AM
plot_10088,plot_6768,7.049001578498805e-08,0.019664771698648123,weekday,WD_AM
plot_10088,plot_19015,7.01606458263414e-08,0.033311531539097494,weekday,WD_AM
plot_4514,plot_4823,6.95769204325701e-08,0.032067713944873344,weekday,WD_AM
plot_17277,plot_4823,6.916098138900855e-08,0.030637517722072252,weekday,WD_AM
plot_16826,plot_9470,6.887095332174431e-08,0.010270678985346568,weekday,WD_AM
plot_4514,plot_4626,6.875261663705272e-08,0.032952091023482115,weekday,WD_AM
plot_16826,plot_7597,6.865205951883316e-08,0.019122026279921434,weekday,WD_AM
plot_17277,plot_4626,6.834160537888583e-08,0.02939834857436696,weekday,WD_AM
plot_10088,plot_4675,6.832431314194404e-08,0.0129184842365454,weekday,WD_AM
plot_17040,plot_4823,6.813692635247982e-08,0.015318948314420927,weekday,WD_AM
plot_16826,plot_6768,6.780197378584994e-08,0.011118241951407844,weekday,WD_AM
plot_10096,plot_4823,6.7718057970588e-08,0.029485437027275564,weekday,WD_AM
plot_4514,plot_6857,6.759618118150479e-08,0.0474431897970646,weekday,WD_AM
plot_16826,plot_19015,6.74851639078365e-08,0.024848540469217972,weekday,WD_AM
plot_17040,plot_4626,6.732968270533294e-08,0.014717622180573146,weekday,WD_AM
plot_17277,plot_6857,6.719208323100273e-08,0.03149019299084593,weekday,WD_AM
plot_10088,plot_10944,6.709641692405244e-08,0.02424286218188963,weekday,WD_AM
plot_10088,plot_10528,6.700104823854446e-08,0.026160486234974165,weekday,WD_AM
plot_10096,plot_4626,6.691577681380244e-08,0.028495335227011157,weekday,WD_AM
plot_17040,plot_6857,6.619718133884273e-08,0.0057653323208589225,weekday,WD_AM
plot_8038,plot_4823,6.617839425548538e-08,0.04044763062245267,weekday,WD_AM
