unit_id,timestamp,hour,o_arrive,o_leave,o_stay,poi_cat_1,poi_cat_2,poi_cat_3,poi_cat_4,poi_cat_5,poi_cat_6,poi_cat_7,poi_cat_8,poi_cat_9
plot_10648,2021-04-01 00:00:00,0,1.3357297892464424,1.497142339664521,4.26975727178767,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
plot_10810,2021-04-01 00:00:00,0,1.1640490775271601,1.5243575046914486,4.341597488083619,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
plot_10650,2021-04-01 00:00:00,0,1.372842826183339,1.515148979133303,4.5701005226772695,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
plot_10846,2021-04-01 00:00:00,0,1.5434449082348354,1.494396245926302,4.587788270328619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
plot_10849,2021-04-01 00:00:00,0,1.2925715372718642,1.4713580158083903,4.50109644578821,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
plot_10847,2021-04-01 00:00:00,0,1.139137081553366,1.415636649241974,4.056551852116709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10605,2021-04-01 00:00:00,0,1.4233110327678302,1.3376225502666763,3.748002818915782,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
plot_10646,2021-04-01 00:00:00,0,1.5585795120047803,1.4368581738607906,4.271637969526084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 00:00:00,0,1.9559879879869555,1.5462538084979083,6.151232997196931,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
plot_10552,2021-04-01 00:00:00,0,1.4984699430441344,1.539668391789185,4.761264013455231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10499,2021-04-01 00:00:00,0,1.3494693330947973,1.7869296986159782,4.542739513555592,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
plot_10500,2021-04-01 00:00:00,0,1.4518257671845,1.709553921471311,4.821846392941316,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
plot_10549,2021-04-01 00:00:00,0,1.5922359269488717,1.6842273016029414,4.315158214314255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_19877,2021-04-01 00:00:00,0,1.4994243103515728,1.205280319188542,4.6219143478122335,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
plot_11486,2021-04-01 00:00:00,0,1.6422495782003501,1.9288100078731434,5.189279605379777,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
plot_10648,2021-04-01 01:00:00,1,1.502824327362013,1.2205525108073327,3.732445741202731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10810,2021-04-01 01:00:00,1,1.3193213784921756,1.3157807139339865,4.2527280309887425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10650,2021-04-01 01:00:00,1,1.5761696828263008,1.0605761591488367,3.8820564055980653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
plot_10846,2021-04-01 01:00:00,1,1.8795984791237363,1.8484629212437396,5.149950383333908,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
plot_10849,2021-04-01 01:00:00,1,1.346302610597005,1.3522978382202069,4.401857747290964,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
plot_10847,2021-04-01 01:00:00,1,1.4402796282996917,1.094025739816346,4.1036129058948045,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
plot_10605,2021-04-01 01:00:00,1,1.6001824155507005,1.5268657627645146,4.647155045877066,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
plot_10646,2021-04-01 01:00:00,1,2.0616252279458434,1.876092179875946,5.089964480474706,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
plot_10604,2021-04-01 01:00:00,1,1.844721642738494,1.6014432479681322,5.050474062583639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10552,2021-04-01 01:00:00,1,1.2048041869291333,1.073887755380338,4.0094114491652535,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
plot_10499,2021-04-01 01:00:00,1,1.5971666331489345,1.1491476452601423,4.063550468264663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
plot_10500,2021-04-01 01:00:00,1,1.3637855933268392,1.5271937128397766,5.049578067228269,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
plot_10549,2021-04-01 01:00:00,1,1.314365299944523,1.7185672311150302,4.477165696347148,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
plot_19877,2021-04-01 01:00:00,1,1.951795248918992,1.9691547888170096,6.591413221346383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11486,2021-04-01 01:00:00,1,2.024892054699297,2.2267496422148887,6.913421645069513,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
plot_10648,2021-04-01 02:00:00,2,1.1436217061572183,1.3402486197008372,3.701575158386857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10810,2021-04-01 02:00:00,2,1.2005080992843524,0.9444461278305314,2.9336282447295314,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
plot_10650,2021-04-01 02:00:00,2,1.3830053352105622,1.731260173197816,5.257497684446524,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
plot_10846,2021-04-01 02:00:00,2,1.06695188308515,1.1009976654432618,3.551604566108322,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
plot_10849,2021-04-01 02:00:00,2,1.5776907074541766,1.6800422414380771,5.101860137776361,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
plot_10847,2021-04-01 02:00:00,2,1.382169794481886,1.9129948365087386,5.066563048305984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
plot_10605,2021-04-01 02:00:00,2,1.4549894249971598,1.433962862496976,3.6197664368254108,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
plot_10646,2021-04-01 02:00:00,2,1.1700126657762357,1.2947516123254537,3.3365918888847204,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
plot_10604,2021-04-01 02:00:00,2,1.5406001150315722,1.6059562662812004,3.970196787101378,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
plot_10552,2021-04-01 02:00:00,2,1.8122982248437849,1.2949801927872933,4.317796750494033,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
plot_10499,2021-04-01 02:00:00,2,1.5358497742709105,1.2610566496458417,4.579520924038856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
plot_10500,2021-04-01 02:00:00,2,1.546947929353961,1.2786588098779132,4.181546346093988,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
plot_10549,2021-04-01 02:00:00,2,2.2224699514963207,2.234968316417701,6.733918259443432,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
plot_19877,2021-04-01 02:00:00,2,1.4868961992065477,1.4481176024389224,4.371964458494275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11486,2021-04-01 02:00:00,2,2.261091266246523,1.4819011821024604,5.93338530780124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
plot_10648,2021-04-01 03:00:00,3,1.407757262366973,1.6051185777746804,5.371999412711803,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10810,2021-04-01 03:00:00,3,1.5274331336616565,1.0076309691631264,4.304491732436668,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
plot_10650,2021-04-01 03:00:00,3,1.4791084652737496,1.3557797287108515,5.174273606119892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10846,2021-04-01 03:00:00,3,1.1973247813637828,1.3126790987238561,4.53907546583346,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10849,2021-04-01 03:00:00,3,1.2583464204060097,1.3920721113496795,4.389255792891502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10847,2021-04-01 03:00:00,3,2.1918032486816834,2.2712577316091638,5.863176269175134,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
plot_10605,2021-04-01 03:00:00,3,1.3650214039333775,1.374944271245883,3.6546682500821563,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
plot_10646,2021-04-01 03:00:00,3,1.6514253120996345,1.7686410712318439,5.4271637154611385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 03:00:00,3,1.7616392880820702,1.549896596656369,6.187462201560047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
