unit_id,trip_production,trip_attraction
plot_10648,0.00018869732484014807,0.00021444325339295433
plot_10810,0.00018876485484090738,0.00021451998271870354
plot_10650,0.00018919599892869827,0.00021500985948866495
plot_10846,0.0001891148721627188,0.00021491768124644884
plot_10849,0.00018934996001244514,0.00021518479384675476
plot_10847,0.00018909619639927632,0.0002148964613790313
plot_10605,0.00018924155772579218,0.00021506162451652512
plot_10646,0.00018934327197627336,0.0002151771947372023
plot_10604,0.0001898443396359192,0.00021574651973141576
plot_10552,0.00019037318114641628,0.00021634740141631477
plot_10499,0.00019014951899740243,0.00021609327150171094
plot_10500,0.0001905317670915582,0.00021652759022991992
plot_10549,0.00019120540317115093,0.00021729298961496612
plot_19877,0.00019128415521689365,0.0002173824692669951
plot_11486,0.00019163039771024677,0.00021777587675696214
plot_10346,0.00019202469270410597,0.00021822388210540432
plot_10551,0.00019204315231883298,0.00021824485625633326
plot_11760,0.0001924264815168078,0.00021868040170729648
plot_10938,0.00019239437754875477,0.0002186439246207552
plot_10550,0.0001931971174956549,0.00021955601099842175
plot_10384,0.0001896343858115758,0.00021550796527134667
plot_12551,0.00018972838549728284,0.00021561476993157394
plot_10383,0.00018995014899864934,0.0002158667427733097
plot_12550,0.0001904616891039969,0.00021644796609734777
plot_10428,0.00019021325215033924,0.00021616568654098795
plot_16668,0.0001905757631657275,0.00021657757951991312
plot_10391,0.00019124212918043718,0.00021733471844421158
plot_10937,0.00019197033775398737,0.00021816212301522522
plot_9005,0.00019401626186618329,0.00022048673484226537
plot_11131,0.0001938676543564389,0.00022031788492416483
plot_11074,0.00019100437413370228,0.00021706457633140601
plot_11099,0.0001918131772888638,0.00021798355437756517
plot_11098,0.00019208241467890845,0.00021828946686336178
plot_11216,0.0001915672440554878,0.00021770412036010438
plot_17486,0.00019143150781815424,0.00021754989420660634
plot_11221,0.0001921217256115587,0.00021833413265591966
plot_11498,0.00019244244816190258,0.00021869854328611707
plot_9763,0.00019366203800477323,0.00022008426068467456
plot_17664,0.00019302077968734013,0.00021935565319559173
plot_9764,0.00019519542084518702,0.00022182650988328035
plot_11496,0.00019344663281827896,0.00021983951412792537
plot_17739,0.00019421111390165272,0.00022070812835715852
plot_11759,0.00019475607229644328,0.0002213273169885368
plot_11758,0.0001956530093771765,0.00022234642679092037
plot_18339,0.00019657923435201582,0.00022339881190135846
