unit_id,timestamp,hour,o_arrive,o_leave,o_stay,商业,办公,交通,居住,公服,教育,医疗,文体,其它,norm_o_arrive,norm_o_leave,norm_o_stay,norm_商业,norm_办公,norm_交通,norm_居住,norm_公服,norm_教育,norm_医疗,norm_文体,norm_其它
plot_10604,2021-04-01 06:00:00,6,0.0,15.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.190544929628293,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 07:00:00,7,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.27246481414651746,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 08:00:00,8,0.0,18.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2850956333453627,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 09:00:00,9,0.0,16.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.22121977625405992,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 10:00:00,10,0.0,35.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9047275351858535,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 11:00:00,11,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15156983038614216,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 12:00:00,12,0.0,19.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.32948394081559007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 13:00:00,13,0.0,17.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.24215084806928902,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 14:00:00,14,0.0,21.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3937206784554312,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
plot_10604,2021-04-01 15:00:00,15,0.0,18.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29014796102490076,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
