unit_id,timestamp,hour,o_arrive,o_leave,o_stay,商业,办公,交通,居住,公服,教育,医疗,文体,其它
plot_10604,2021-04-01 06:00:00,6,0.0,15.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 07:00:00,7,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 08:00:00,8,0.0,18.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 09:00:00,9,0.0,16.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 10:00:00,10,0.0,35.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 11:00:00,11,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 12:00:00,12,0.0,19.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 13:00:00,13,0.0,17.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 14:00:00,14,0.0,21.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 15:00:00,15,0.0,18.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 16:00:00,16,0.0,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 17:00:00,17,0.0,21.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 18:00:00,18,0.0,20.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 19:00:00,19,0.0,22.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 20:00:00,20,0.0,29.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 21:00:00,21,0.0,27.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 22:00:00,22,0.0,31.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-01 23:00:00,23,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-02 00:00:00,0,0.0,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-02 01:00:00,1,0.0,22.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-02 02:00:00,2,0.0,23.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-02 03:00:00,3,0.0,31.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-02 04:00:00,4,0.0,10.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,2021-04-02 05:00:00,5,0.0,38.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10605,2021-04-01 06:00:00,6,0.0,0.0,953.69,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 07:00:00,7,0.0,0.0,1238.73,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 08:00:00,8,0.0,0.0,1224.57,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 09:00:00,9,0.0,0.0,1180.12,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 10:00:00,10,0.0,0.0,1162.11,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 11:00:00,11,0.0,0.0,1068.65,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 12:00:00,12,0.0,0.0,724.61,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 13:00:00,13,0.0,0.0,663.68,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 14:00:00,14,0.0,0.0,779.62,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 15:00:00,15,0.0,0.0,891.81,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 16:00:00,16,0.0,0.0,1171.35,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 17:00:00,17,0.0,0.0,1386.85,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 18:00:00,18,0.0,0.0,1501.08,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 19:00:00,19,0.0,0.0,1504.06,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
plot_10605,2021-04-01 20:00:00,20,0.0,0.0,1306.11,11.0,12.0,38.0,18.0,22.0,37.0,1.0,11.0,17.0
